31,S-BAL42,583594,585591,1.554629 ,1.559924 ,1.565571 ,1.570481 ,1.572083 ,1.574851 ,1.576726 ,1.578437 ,1.580139 ,1.580614 ,1.581058 ,1.583039 ,1.583126 ,1.585468 ,1.589960 ,1.590519 ,1.594590 ,1.595297 ,1.599721 ,1.607243 ,0,0.03,0.15,0.36,0.58,0.75,0.86,0.932,0.964,0.979,0.986,0.991,0.993,0.995,0.995,0.996,0.997,0.998,0.999,0.998,0.998,0.998,0.998,0.997,0.997,0.997,0.987,0.994,0.985,0.973,0.917,0.86
32,S-BAM 3,583464,586461,1.551752 ,1.556855 ,1.562419 ,1.567548 ,1.569323 ,1.572514 ,1.574751 ,1.576831 ,1.578930 ,1.579521 ,1.580075 ,1.582563 ,1.582673 ,1.585655 ,1.591481 ,1.592217 ,1.597643 ,1.598599 ,1.604686 ,1.615511 ,0,0,0,0,0,0,0,0.11,0.44,0.71,0.85,0.92,0.954,0.979,0.986,0.989,0.992,0.994,0.997,0.997,0.996,0.997,0.998,0.998,0.998,0.997,0.991,0.993,0.981,0.964,0.911,0.87
33,S-BAM 4,606437,609434,1.573512 ,1.578498 ,1.584017 ,1.589263 ,1.591127 ,1.594533 ,1.596950 ,1.599214 ,1.601507 ,1.602155 ,1.602763 ,1.605498 ,1.605620 ,1.608909 ,1.615364 ,1.616181 ,1.622224 ,1.623291 ,1.630102 ,1.642283 ,0,0,0,0,0,0,0,0.06,0.41,0.72,0.87,0.938,0.965,0.986,0.991,0.991,0.993,0.995,0.998,0.997,0.996,0.997,0.999,0.998,0.998,0.998,0.995,0.994,0.980,0.962,0.919,0.89
34,S-BAM12,639449,643446,1.604797 ,1.610398 ,1.616533 ,1.622234 ,1.624221 ,1.627808 ,1.630332 ,1.632682 ,1.635057 ,1.635726 ,1.636354 ,1.639175 ,1.639300 ,1.642684 ,1.649304 ,1.650140 ,1.656313 ,1.657401 ,1.664330 ,1.676645 ,0,0,0,0,0,0,0,0.13,0.49,0.75,0.87,0.928,0.955,0.977,0.983,0.987,0.990,0.993,0.997,0.996,0.996,0.997,0.998,0.998,0.998,0.998,0.992,0.995,0.987,0.976,0.932,0.86
35,S-BAH10,670473,673470,1.635456 ,1.641080 ,1.647222 ,1.652929 ,1.654922 ,1.658521 ,1.661053 ,1.663410 ,1.665788 ,1.666457 ,1.667086 ,1.669904 ,1.670029 ,1.673402 ,1.679974 ,1.680802 ,1.686888 ,1.687957 ,1.694731 ,1.706627 ,0,0,0,0,0,0,0.01,0.19,0.48,0.70,0.83,0.902,0.939,0.969,0.979,0.984,0.989,0.993,0.997,0.996,0.996,0.997,0.998,0.997,0.997,0.998,0.996,0.996,0.991,0.981,0.949,0.85
36,S-BAH11,667483,670480,1.633279 ,1.638660 ,1.644562 ,1.650079 ,1.652013 ,1.655513 ,1.657978 ,1.660273 ,1.662589 ,1.663241 ,1.663853 ,1.666596 ,1.666718 ,1.670000 ,1.676386 ,1.677189 ,1.683090 ,1.684125 ,1.690674 ,1.702127 ,0,0,0,0,0,0,0.04,0.27,0.56,0.75,0.86,0.922,0.952,0.975,0.982,0.987,0.991,0.994,0.997,0.995,0.995,0.996,0.997,0.997,0.997,0.998,0.994,0.995,0.988,0.976,0.936,0.84
37,S-BAH27,702412,706410,1.662531 ,1.668584 ,1.675260 ,1.681603 ,1.683862 ,1.687999 ,1.690942 ,1.693702 ,1.696503 ,1.697295 ,1.698038 ,1.701387 ,1.701536 ,1.705571 ,1.713515 ,1.714523 ,1.721999 ,1.723323 ,1.731803 ,1.747120 ,0,0,0,0,0,0,0,0,0.16,0.47,0.70,0.83,0.89,0.955,0.971,0.979,0.985,0.989,0.995,0.994,0.994,0.996,0.998,0.998,0.998,0.998,0.993,0.994,0.987,0.974,0.921,0.81
38,S-BAH28,723380,728377,1.681981 ,1.688085 ,1.694901 ,1.701542 ,1.703959 ,1.708444 ,1.711670 ,1.714713 ,1.717816 ,1.718695 ,1.719522 ,1.723254 ,1.723420 ,1.727935 ,1.736876 ,1.738015 ,1.746493 ,1.748000 ,1.757689 ,,0,0,0,0,0,0,0,0,0.06,0.32,0.58,0.75,0.85,0.934,0.963,0.975,0.982,0.987,0.994,0.995,0.995,0.996,0.998,0.998,0.998,0.998,0.994,0.995,0.990,0.979,0.938,0.84
39,S-BAH32,670393,674390,1.631340 ,1.637279 ,1.643858 ,1.650132 ,1.652372 ,1.656479 ,1.659407 ,1.662155 ,1.664949 ,1.665740 ,1.666482 ,1.669830 ,1.669979 ,1.674022 ,1.682010 ,1.683027 ,1.690586 ,1.691929 ,1.700561 ,1.716299 ,0,0,0,0,0,0,0,0,0.16,0.51,0.74,0.85,0.910,0.955,0.971,0.978,0.984,0.988,0.994,0.994,0.994,0.996,0.998,0.997,0.997,0.996,0.992,0.993,0.988,0.980,0.948,0.88
40,S-PHM52,618634,620630,1.591081 ,1.595874 ,1.601028 ,1.605612 ,1.607143 ,1.609826 ,1.611666 ,1.613353 ,1.615036 ,1.615507 ,1.615948 ,1.617913 ,1.618000 ,1.620327 ,1.624794 ,1.625351 ,1.629400 ,1.630103 ,1.634506 ,1.641994 ,0,0,0,0,0,0.05,0.25,0.51,0.72,0.85,0.923,0.957,0.974,0.986,0.990,0.992,0.994,0.996,0.998,0.998,0.998,0.998,0.997,0.996,0.996,0.996,0.996,0.991,0.979,0.961,0.926,0.89
