"SCHOTT, Optical Glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Internal transmission measured at 10 mm sample thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refractive Indices,,,,,,,,,,,,,,,,,,,,,,
Glass,Glascode,TAUI10/2500,TAUI10/2325,TAUI10/1970,TAUI10/1530,TAUI10/1060,TAUI10/700,TAUI10/660,TAUI10/620,TAUI10/580,TAUI10/546,TAUI10/500,TAUI10/460,TAUI10/436,TAUI10/420,TAUI10/405,TAUI10/400,TAUI10/390,TAUI10/380,TAUI10/370,TAUI10/365,TAUI10/350,TAUI10/334,TAUI10/320,TAUI10/310,TAUI10/300,TAUI10/290,TAUI10/280,TAUI10/270,TAUI10/260,TAUI10/250,  n2325.4,  n1970.1,  n1529.6,  n1060.0,  nt,  ns,  nr,  nC,  nC',  n632.8,  nD,  nd,  ne,  nF,  nF',  ng,  nh,  ni,  n334.1,  n312.6,  n296.7,  n280.4,  n248.3
 P-SK58A,589612.297,0.546,0.746,0.924,0.984,0.996,0.995,0.995,0.996,0.997,0.998,0.997,0.996,0.995,0.994,0.994,0.994,0.991,0.986,0.980,0.971,0.924,0.752,0.364,0.067,0.002,0.000,0.000,0.000,0.000,0.000,1.55820,1.56439,1.57086,1.57728,1.57799,1.58086,1.58449,1.58618,1.58665,1.58709,1.58904,1.58913,1.59143,1.59581,1.59636,1.60100,1.60530,1.61260,1.620450,,,,
 N-KZFS8,720347.320,0.764,0.867,0.967,0.993,0.999,0.998,0.998,0.998,0.998,0.997,0.994,0.988,0.982,0.976,0.967,0.963,0.946,0.924,0.887,0.857,0.665,0.141,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.67524,1.68193,1.68939,1.69816,1.69927,1.70416,1.71099,1.71437,1.71532,1.71622,1.72029,1.72047,1.72539,1.73513,1.73637,1.74724,1.75777,1.77690,,,,,
 N-LAK7,652585.384,0.550,0.754,0.943,0.989,0.999,0.999,0.998,0.998,0.998,0.998,0.997,0.994,0.992,0.991,0.989,0.988,0.984,0.978,0.966,0.956,0.908,0.799,0.619,0.415,0.191,0.050,0.000,0.000,0.000,0.000,1.61875,1.62499,1.63156,1.63828,1.63904,1.64220,1.64628,1.64821,1.64875,1.64925,1.65150,1.65160,1.65425,1.65934,1.65998,1.66539,1.67042,1.67897,1.688200,,,,
 N-LAK21,640601.374,0.536,0.752,0.946,0.988,0.998,0.998,0.996,0.996,0.997,0.997,0.995,0.990,0.987,0.985,0.982,0.979,0.971,0.959,0.928,0.905,0.799,0.565,0.250,0.060,0.000,0.000,0.000,0.000,0.000,0.000,1.60776,1.61416,1.62086,1.62759,1.62834,1.63143,1.63538,1.63724,1.63776,1.63825,1.64040,1.64049,1.64304,1.64790,1.64850,1.65366,1.65844,1.66657,1.675320,,,,
 N-BAF10,670471.375,0.727,0.857,0.967,0.992,0.998,0.998,0.996,0.996,0.996,0.996,0.992,0.987,0.981,0.976,0.959,0.950,0.915,0.847,0.720,0.626,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.63524,1.64094,1.64714,1.65404,1.65488,1.65849,1.66339,1.66578,1.66645,1.66708,1.66990,1.67003,1.67341,1.68000,1.68083,1.68801,1.69480,,,,,,
 N-SSK2,622533.353,0.758,0.877,0.971,0.992,0.997,0.998,0.998,0.997,0.998,0.998,0.997,0.994,0.992,0.990,0.985,0.981,0.967,0.941,0.891,0.852,0.574,0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.59149,1.59685,1.60260,1.60880,1.60953,1.61264,1.61678,1.61877,1.61933,1.61985,1.62219,1.62229,1.62508,1.63045,1.63112,1.63691,1.64232,1.65166,,,,,
 K10,501564.252,0.770,0.831,0.937,0.993,0.998,0.999,0.998,0.997,0.997,0.997,0.996,0.996,0.995,0.995,0.995,0.994,0.993,0.989,0.986,0.983,0.963,0.877,0.626,0.370,0.140,0.000,0.000,0.000,0.000,0.000,1.47507,1.48008,1.48536,1.49076,1.49137,1.49389,1.49713,1.49867,1.49910,1.49950,1.50129,1.50137,1.50349,1.50756,1.50807,1.51243,1.51649,1.52350,1.531200,1.538440,,,
 N-KF9,523515.250,0.618,0.713,0.887,0.992,0.998,0.999,0.998,0.998,0.998,0.998,0.998,0.996,0.995,0.994,0.990,0.986,0.976,0.950,0.901,0.857,0.536,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.49608,1.50095,1.50616,1.51170,1.51234,1.51507,1.51867,1.52040,1.52089,1.52134,1.52337,1.52346,1.52588,1.53056,1.53114,1.53620,1.54096,1.54925,,,,,
 N-BAF51,652450.333,0.746,0.831,0.946,0.992,0.997,0.997,0.996,0.996,0.997,0.996,0.994,0.988,0.982,0.976,0.963,0.954,0.924,0.862,0.739,0.642,0.209,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.61873,1.62390,1.62961,1.63619,1.63701,1.64059,1.64551,1.64792,1.64860,1.64924,1.65211,1.65224,1.65569,1.66243,1.66328,1.67065,1.67766,,,,,,
 N-BALF4,580539.311,0.804,0.887,0.967,0.994,0.997,0.999,0.998,0.998,0.998,0.998,0.997,0.994,0.993,0.992,0.988,0.985,0.976,0.959,0.924,0.891,0.679,0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.55068,1.55577,1.56124,1.56707,1.56776,1.57065,1.57447,1.57631,1.57683,1.57731,1.57946,1.57956,1.58212,1.58707,1.58769,1.59301,1.59799,1.60658,,,,,
