31|648-338|E-FD2|1.61953|1.62611|1.62848|1.63286|1.63603|1.63903|1.64210|1.64298|1.64380|1.64752|1.64769|1.65222|1.66124|1.66240|1.67258|1.68259|1.70125|||||||0.995 |0.996 |0.996 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.996 |0.996 |0.997 |0.996 |0.994 |0.991 |0.986 |0.983 |0.975 |0.945 |0.891 |0.769 |0.496 |0.124 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000
32|755-275|E-FD4|1.71739|1.72555|1.72863|1.73449|1.73883|1.74299|1.74729|1.74852|1.74968|1.75496|1.75520|1.76167|1.77473|1.77641|1.79143|1.80649||||||||0.996 |0.996 |0.996 |0.999 |0.999 |0.999 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.997 |0.993 |0.996 |0.995 |0.996 |0.987 |0.982 |0.974 |0.966 |0.944 |0.876 |0.778 |0.551 |0.191 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000
33|673-322|E-FD5|1.64266|1.64942|1.65191|1.65660|1.66002|1.66327|1.66661|1.66756|1.66846|1.67252|1.67270|1.67764|1.68752|1.68879|1.69999|1.71105|1.73182|||||||0.994|0.993|0.995|0.998|0.997|0.996|0.996|0.996|0.996|0.996|0.995|0.994|0.996|0.997|0.997|0.997|0.994|0.994|0.995|0.994|0.988|0.985|0.979|0.975|0.962|0.922|0.857|0.692|0.360|0.048|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.000
34|689-312|E-FD8|1.65765|1.66451|1.66709|1.67198|1.67556|1.67899|1.68251|1.68351|1.68445|1.68874|1.68893|1.69416|1.70462|1.70596|1.71786|1.72964|1.75182|||||||0.995 |0.996 |0.996 |0.998 |0.999 |0.998 |0.998 |0.999 |0.998 |0.999 |0.998 |0.997 |0.997 |0.997 |0.997 |0.997 |0.996 |0.994 |0.996 |0.997 |0.987 |0.988 |0.981 |0.977 |0.960 |0.904 |0.822 |0.640 |0.308 |0.037 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000
35|728-283|E-FD10|1.69248|1.70027|1.70319|1.70875|1.71284|1.71677|1.72082|1.72198|1.72307|1.72803|1.72825|1.73432|1.74654|1.74811|1.76211|1.77609||||||||0.995 |0.995 |0.994 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.998 |0.998 |0.998 |0.998 |0.995 |0.994 |0.996 |0.994 |0.985 |0.980 |0.973 |0.964 |0.937 |0.853 |0.733 |0.497 |0.168 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000
36|741-278|E-FD13|1.70382|1.71184|1.71485|1.72059|1.72482|1.72888|1.73307|1.73427|1.73540|1.74054|1.74077|1.74707|1.75976|1.76139|1.77597|1.79056||||||||0.997 |0.997 |0.998 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.998 |0.998 |0.996 |0.995 |0.991 |0.995 |0.995 |0.985 |0.979 |0.973 |0.961 |0.936 |0.845 |0.722 |0.487 |0.167 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000
37|699-301|E-FD15|1.66610|1.67337|1.67608|1.68120|1.68494|1.68852|1.69221|1.69326|1.69425|1.69875|1.69895|1.70444|1.71547|1.71689|1.72949|1.74204|1.76588|||||||0.997|0.996|0.996|0.998|0.999|0.999|0.998|0.998|0.998|0.998|0.998|0.998|0.998|0.998|0.998|0.997|0.995|0.992|0.996|0.996|0.986|0.980|0.973|0.966|0.948|0.874|0.765|0.542|0.231|0.035|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.000
38|805-255|FD60|1.76336|1.77161|1.77495|1.78151|1.78643|1.79118|1.79611|1.79752|1.79885|1.80491|1.80518|1.81263|1.82774|1.82970|1.84721|1.86480||0.857|0.878|0.934|0.973|0.986|0.999|0.997 |0.996 |0.998 |0.998 |0.998 |0.998 |0.997 |0.997 |0.997 |0.997 |0.998 |0.998 |0.999 |0.998 |0.997 |0.995 |0.993 |0.990 |0.993 |0.991 |0.979 |0.972 |0.965 |0.957 |0.939 |0.889 |0.806 |0.599 |0.234 |0.014 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000
39|805-255|FD60-W|1.76336|1.77161|1.77495|1.78151|1.78643|1.79118|1.79611|1.79752|1.79885|1.80491|1.80518|1.81263|1.82774|1.82970|1.84721|1.86480||0.857|0.878|0.934|0.973|0.986|0.999|0.997 |0.996 |0.998 |0.998 |0.998 |0.998 |0.997 |0.997 |0.997 |0.997 |0.998 |0.998 |0.999 |0.998 |0.997 |0.995 |0.993 |0.993 |0.992 |0.993 |0.986 |0.982 |0.977 |0.969 |0.952 |0.891 |0.800 |0.593 |0.232 |0.013 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000
40|785-257|FD110|1.74395|1.75227|1.75554|1.76190|1.76665|1.77122|1.77597|1.77733|1.77861|1.78446|1.78472|1.79191|1.80648|1.80837|1.82527|1.84225||||||||0.994 |0.994 |0.996 |0.999 |0.999 |0.999 |0.998 |0.998 |0.998 |0.998 |0.999 |0.999 |0.999 |0.997 |0.997 |0.995 |0.991 |0.990 |0.992 |0.993 |0.983 |0.975 |0.964 |0.946 |0.912 |0.810 |0.687 |0.454 |0.132 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000
